payment_id,shipment_id,delivery_id,payment_method,payment_amount,payment_date
261600,757779,64672,paypal,327.33000000000004,2023-09-08
557068,890889,961228,credit card,286.76,2023-11-28
802730,571196,702431,credit card,639.6500000000001,2023-12-28
656274,510013,966528,paypal,437.39,2023-12-15
257584,605270,944022,credit card,217.15,2023-12-03
324561,669079,141173,credit card,163.5,2023-08-07
395517,765584,592216,credit card,222.38,2023-02-27
368008,861013,408096,credit card,463.68,2023-01-16
331567,101551,774301,cash,205.76000000000002,2023-07-20
468930,996335,705078,cash,876.32,2023-01-23
327717,985755,514922,cash,225.87,2023-08-30
169822,176091,436644,cash,924.62,2023-05-15
294523,168514,638267,credit card,154.73,2023-06-24
706358,875588,986744,credit card,303.79,2023-01-13
167751,533904,152663,credit card,214.25,2023-04-19
890425,87756,574910,paypal,205.68,2023-09-27
730697,785606,912475,cash,168.94,2023-10-19
701154,999436,51350,paypal,867.75,2023-08-06
513131,587798,488093,credit card,916.14,2023-02-10
358145,299806,960799,paypal,205.88,2023-05-24
770201,370634,393044,credit card,426.28,2023-09-28
576004,903038,224843,credit card,793.3,2023-06-07
435575,908083,15255,paypal,216.47000000000003,2023-01-09
778082,770011,970650,credit card,241.37,2023-03-25
205169,612372,246235,credit card,971.61,2023-10-19
949450,892971,539069,cash,134.52,2023-09-10
814666,220721,579007,credit card,108.44,2023-02-28
326895,969853,124247,paypal,356.66,2023-09-15
249200,112648,90987,paypal,308.68,2023-02-24
337358,616616,612218,cash,219.09,2023-11-24
949165,296568,748901,credit card,122.41999999999999,2023-11-18
35691,843190,633447,credit card,77.46000000000001,2023-03-27
691764,394479,246151,credit card,963.57,2023-04-14
612614,225130,681844,paypal,790.3399999999999,2023-06-16
575531,795814,564555,credit card,161.45,2023-01-01
510116,218860,342294,paypal,102.12,2023-05-21
897354,900063,563276,cash,164.47,2023-07-04
329129,13384,404141,cash,72.72,2023-11-18
423487,722586,368407,cash,426.42,2023-10-26
807870,54403,32124,paypal,217.21,2023-08-25
533929,419851,31061,paypal,196.16000000000003,2023-01-03
447310,370323,722479,paypal,999.68,2023-03-18
892047,985061,568942,paypal,138.54,2023-07-14
862956,122257,598390,credit card,895.57,2023-09-15
453659,307134,149289,credit card,551.65,2023-02-12
667479,981980,187935,paypal,80.56,2023-12-14
193757,323294,293231,cash,549.01,2023-03-18
211725,826988,20717,cash,359.96,2023-03-21
246214,885259,286855,paypal,252.49,2023-03-16
201998,556397,116254,cash,147.53,2023-12-10
776055,469306,253149,paypal,83.78,2023-12-13
341239,978527,629831,credit card,122.93,2023-05-19
170768,95342,876878,cash,124.03,2023-07-19
968757,586742,652250,cash,66.42,2023-12-10
346334,522092,442476,credit card,465.72,2023-01-15
350741,627530,957743,credit card,199.7,2023-11-15
778903,663383,592441,cash,123.93,2023-03-08
610621,291763,281016,paypal,68.21000000000001,2023-04-12
492195,115385,43930,paypal,547.34,2023-12-07
378304,40609,726013,paypal,162.89999999999998,2023-06-12
968921,795875,408001,paypal,680.27,2023-10-05
681059,729638,619938,cash,119.78,2023-07-25
